ticker,date,Return_1D,Open,High,Low,Close,Volume,MA_5,MA_21,MA_126,MA_252,Volatility_21,sentiment_mean,sentiment_median,sentiment_std,sentiment_min,sentiment_max,article_count,unique_sources,truncated_articles,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,truncated_ratio,target_direction
BRK-B,2026-04-09,0.0113601088213262,478.2099914550781,487.9500122070313,477.2900085449219,485.2000122070313,3518500,479.352001953125,481.69285801478793,493.3885718451606,494.301388574025,0.0071761660832875,0.09138749999999998,0.0,0.34502563232937594,-0.3425,0.8225,8,5,8,3,3,2,0.375,0.375,0.25,1.0,1
BRK-B,2026-04-10,-0.01092336804865,484.0199890136719,484.8599853515625,478.9200134277344,479.8999938964844,3758900,479.8619995117188,481.04190499441967,493.2303178575304,494.2508329361204,0.0075062986819136,0.16575,0.1366,0.3919619843082453,-0.5719,0.6369,8,7,8,4,3,1,0.5,0.375,0.125,1.0,0
BRK-B,2026-04-13,0.0006043103742661,478.8999938964844,481.1099853515625,477.3999938964844,480.1900024414063,3612400,480.6239990234375,480.4847615559896,493.0989687480624,494.0872616238064,0.0075013461273808,0.42722,0.5423,0.2983215831950481,0.0,0.7783,5,5,5,4,1,0,0.8,0.2,0.0,1.0,1
BRK-B,2026-04-14,-0.005518636129472,479.80999755859375,480.489990234375,476.0,477.5400085449219,4864000,480.5160034179688,479.8900001162575,493.0069846501426,493.93539658803786,0.0075416486188077,0.3089777777777778,0.4588,0.47560471448929564,-0.5267,0.8591,9,7,9,6,1,2,0.6666666666666666,0.1111111111111111,0.2222222222222222,1.0,0
BRK-B,2026-04-15,-0.0072245511272313,478.0,478.7699890136719,473.739990234375,474.0899963378906,6993900,479.3840026855469,479.0271432059152,492.8653973776197,493.7369045681424,0.0075345574180009,0.009660000000000002,0.0,0.28128007039248265,-0.3732,0.4215,5,4,5,1,3,1,0.2,0.6,0.2,1.0,0
BRK-B,2026-04-16,0.0021725807067289,474.0150146484375,476.2598876953125,467.1499938964844,475.1199951171875,4514857,477.3679992675781,478.1957150413877,492.6999211387029,493.52103145538814,0.0075645365511712,0.22343333333333334,0.128,0.2834659826739945,0.0,0.5423,3,3,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1.0,1
GOOG,2026-03-25,0.0013484927883757,292.1499938964844,294.6600036621094,287.3699951171875,289.5899963378906,22343000,296.46600341796875,303.37901524135043,298.2505301823692,241.2883282010517,0.0141213583878216,-0.16588,-0.26115,0.38677528876597067,-0.5423,0.5267,10,8,10,2,1,7,0.2,0.1,0.7,1.0,1
GOOG,2026-03-26,-0.0305604689921316,286.19000244140625,286.5150146484375,279.04998779296875,280.739990234375,29281200,291.46799926757814,301.85188947405135,298.51438685825894,241.71906341068328,0.0151112283615533,0.03660952380952382,0.1531,0.5462805532917696,-0.8519,0.8979,21,12,21,11,2,8,0.5238095238095238,0.09523809523809523,0.38095238095238093,1.0,0
GOOG,2026-03-27,-0.0248627937292538,277.3999938964844,279.0899963378906,273.4800109863281,273.760009765625,25703300,286.4619995117188,300.2721862792969,298.7328332567972,242.1444437541659,0.0154424898511184,0.053356521739130434,0.3818,0.5801421164649595,-0.8979,0.7964,23,18,23,12,2,9,0.5217391304347826,0.08695652173913043,0.391304347826087,1.0,0
GOOG,2026-03-30,-0.0022647395348878,275.44000244140625,276.260009765625,271.5350036621094,273.1400146484375,22752300,281.2860046386719,298.4592939104353,298.9415244450645,242.5794647459,0.0148249542177004,-0.016990000000000005,-0.0386,0.425479492781706,-0.802,0.5719,10,9,10,4,1,5,0.4,0.1,0.5,1.0,0
GOOG,2026-03-31,0.0502305409948233,277.5400085449219,287.04998779296875,276.760009765625,286.8599853515625,31625100,280.8179992675781,297.5409923735119,299.28145490373885,243.1006459432935,0.0190433602368887,0.2176947368421053,0.2732,0.4042524231682809,-0.7003,0.8151,19,17,19,14,1,4,0.7368421052631579,0.05263157894736842,0.21052631578947367,1.0,1
GOOG,2026-04-07,0.0210642643839691,300.1400146484375,304.1000061035156,295.42498779296875,303.92999267578125,17317700,295.56199340820314,296.8542858305432,300.9505905877976,245.34869651188927,0.0206473536113616,0.35144000000000003,0.40080000000000005,0.23085883709892213,0.0,0.6249,10,9,10,8,2,0,0.8,0.2,0.0,1.0,1
GOOG,2026-04-08,0.0355673932125724,317.8299865722656,319.3900146484375,312.7049865722656,314.739990234375,20887500,301.13799438476565,297.26999918619794,301.4551217215402,246.0134147159637,0.0212852723715242,0.283875,0.44765,0.5980520133853624,-0.8271,0.9313,8,7,8,6,0,2,0.75,0.0,0.25,1.0,1
